ticker,sector,industry,marketCap,sharesOutstanding,message
RES,Energy,Oil & Gas Equipment & Services,825861120.0,215068000.0,
PZZA,Consumer Cyclical,Restaurants,2795335168.0,32952200.0,
BSX,Healthcare,Medical Devices,48112508928.0,1431920000.0,
MAMS,,,,,'regularMarketOpen'
CRAI,Industrials,Consulting Services,403280480.0,7776330.0,
CPLA,,,,,'regularMarketOpen'
BOJF,,,,,'regularMarketOpen'
MSL,,,,,'regularMarketOpen'
CVRR,,,,,'regularMarketOpen'
XEL,Utilities,Utilities—Regulated Electric,34924691456.0,537302976.0,
PEP,Consumer Defensive,Beverages—Non-Alcoholic,200342732800.0,1381959936.0,
BER,,,,,'regularMarketOpen'
DMC,,,,,'regularMarketOpen'
RBPAA,,,,,'regularMarketOpen'
CFD,,,,,'regularMarketOpen'
CYBE,Technology,Scientific & Technical Instruments,196964560.0,7254680.0,
FIBK,Financial Services,Banks—Regional,2547317504.0,41143600.0,
SRNE,Healthcare,Biotechnology,2154026752.0,273700992.0,
CSGS,Technology,Software—Infrastructure,1421945088.0,32945900.0,
CST,,,,,'regularMarketOpen'
MSCC,,,,,'regularMarketOpen'
PLPM,,,,,'regularMarketOpen'
AXR,Real Estate,Real Estate Services,52435328.0,7323370.0,
PKI,Healthcare,Diagnostics & Research,16356042752.0,111974000.0,
ZHNE,,,,,'regularMarketOpen'
ADXS,Healthcare,Biotechnology,36460904.0,109822000.0,
NEO,Healthcare,Diagnostics & Research,5634772480.0,111030000.0,
MXL,Technology,Semiconductors,2264364288.0,74168496.0,
SBGI,Communication Services,Broadcasting,2117324800.0,49252900.0,
TROV,,,,,'regularMarketOpen'
ATML,,,,,'regularMarketOpen'
SRE,Utilities,Utilities—Diversified,36924162048.0,288470016.0,
HPP,Real Estate,REIT—Office,3852311040.0,152144992.0,
NSPH,,,,,'regularMarketOpen'
CUDA,,,,,'regularMarketOpen'
PEGI,,,,,'regularMarketOpen'
SSS,,,,,'regularMarketOpen'
ULTA,Consumer Cyclical,Specialty Retail,14951701504.0,56338600.0,
RSPP,,,,,'regularMarketOpen'
RE,Financial Services,Insurance—Reinsurance,9256855552.0,39965700.0,
MSFT,Technology,Software—Infrastructure,1612352192512.0,7560500224.0,
AMSC,Industrials,Specialty Industrial Machinery,537432320.0,27603100.0,
TRIP,Consumer Cyclical,Travel Services,3821854976.0,121725000.0,
CETV,,,,,"BeautifulSoup4 (bs4) not found, please install it"
N,,,,,'regularMarketOpen'
OHRP,,,,,'regularMarketOpen'
